User,Location,Tweet
usofawake,NYC,b'Wikileaks exposes secret list of 65 mainstream media reporters who are part of the Clinton mafia\xe2\x80\xa6 https://t.co/MzmFq1oENK'
LarryThornton1,Georgia,b'Wikileaks exposes secret list of 65 mainstream media reporters who are part of the Clinton mafia\xe2\x80\xa6 https://t.co/U263JD1znR'
lgvenegas95,,"b'How do you fight fire with oil, far left @BernieSanders vs right-wing @realDonaldTrump? #DemocraticPrimaries #USElections'"
GenderEconomy,"Toronto, Ontario",b'Research: We have trouble thinking of a president as \xe2\x80\x9cshe\xe2\x80\x9d; slows down our cognitive processing.\n#Elections2020\xe2\x80\xa6 https://t.co/F0dbmQ9jh4'
Charlot53399013,,b'Wikileaks exposes secret list of 65 mainstream media reporters who are part of the Clinton mafia\xe2\x80\xa6 https://t.co/QYdgROO3YZ'
Davy_Acko,Liverpool,b'#Socialism and the 2020 elections: the international class struggle and the strategy of world socialist revolution\xe2\x80\xa6 https://t.co/kkmfbvsCte'
rumrot,United States,b'Wikileaks exposes secret list of 65 mainstream media reporters who are part of the Clinton mafia\xe2\x80\xa6 https://t.co/TIQpXGsTWC'
sher308,,b'Wikileaks exposes secret list of 65 mainstream media reporters who are part of the Clinton mafia\xe2\x80\xa6 https://t.co/QfgjoaF4RC'
awesomenoord,Amsterdam,b'Great inside in US Primary Elections. Interesting and bit scary tbh.\nThe Circus: Inside the Biggest Story on Earth\xe2\x80\xa6 https://t.co/QHQL3UzaoI'
happkat,"N C, USA",b'Wikileaks exposes secret list of 65 mainstream media reporters who are part of the Clinton mafia\xe2\x80\xa6 https://t.co/lCnCm2ufkn'
_eavi,"Brussel, België","b""#Electiontime also means that the media's role's going to be decisive.\n\nShould the Democrats use Trump's tactics to\xe2\x80\xa6 https://t.co/hs1Ld3A3wv"""
ahmetkurnaz001,"Çanakkale, Türkiye","b'While reading on Competitive Authorianism, bumped into ""No democracy can be taken for granted"", and realized that i\xe2\x80\xa6 https://t.co/phP6qllcQt'"
tandon4congress,,b'It was indeed an enriching experience to reach out to my Vietnamese audience and be able to interact with people fo\xe2\x80\xa6 https://t.co/11I8v7y7PU'
tandon4congress,,"b'I would also thank my courteous interviewer, Ms Jasleen Khanuja, for asking right and purposeful questions.\n\nSuppor\xe2\x80\xa6 https://t.co/qkRKI5UjH9'"
tandon4congress,,"b'Accompanied with an excellent setup and a nice location, this event really helped me garner support, for fulfilling\xe2\x80\xa6 https://t.co/HxTp0oyC7s'"
Fairdeal2000,United States,"b""@ClintBowyer @POTUS Others judge him on why he thinks it's ok to ask Russia and China to interfere in #UsElections\xe2\x80\xa6 https://t.co/SpkYwQydk6"""
LoverAlia19s,beside Zac Efron,"b""Bloomberg's election challenge to Trump is a waterfall of cash https://t.co/15dwMWDFWa  #MichaelBloomberg\xe2\x80\xa6 https://t.co/f6Z8k8Voyx"""
mclozano1111,Hallandale Beach,"b""From #VladimirPutin's perspective it worked. Last November, as #impeachment played out and America's next election\xe2\x80\xa6 https://t.co/WbvVpfKS8R"""
DjRopeADope68,Bonne Terre Mo 63628,b'Wikileaks exposes secret list of 65 mainstream media reporters who are part of the Clinton mafia\xe2\x80\xa6 https://t.co/7q0FLxzWDm'
blidaru,Romania,"b'Elections are about domestic politics. Yet, I am curious if there is a candidate in the 2020 US elections that woul\xe2\x80\xa6 https://t.co/aizsnAUg1k'"
rlittwin,,b'@Just_Brousing @catACH317 @ResargNivek @HasnMonica @KamVTV @MikeBloomberg @LamarAlexander @CTmagazine\xe2\x80\xa6 https://t.co/QfDeEG27xe'
AnnloMyles,Sweden,b'Wikileaks exposes secret list of 65 mainstream media reporters who are part of the Clinton mafia\xe2\x80\xa6 https://t.co/8Uj6y6wn4m'
CaptainAdvance1,A southern Labor voting state,b'Interesting analysis (but anti Sanders on grounds Trump fancies his chances). Nice thread @SovietSergey #45\xe2\x80\xa6 https://t.co/waAGYAV1ap'
CaptainLives,America! Best country ever!,b'October 2016\n\nWikileaks exposes secret list of 65 mainstream media reporters who are part of the Clinton mafia\xe2\x80\xa6 https://t.co/h4aMBRMaR3'
chperthandivorz,"Natick, MA",b'Support #VotingRights in 2018 #USelections through @carpoolvote: Linking drivers with voters needing a ride. https://t.co/dHC0xuvZTI'
AlexWitzleben,Brussels,b'The left must decide which Green New Deal they want. It\xe2\x80\x99s often said that the best way to win an argument in progre\xe2\x80\xa6 https://t.co/CUKUtEj3LR'
Downtown68,,b'Support #VotingRights in 2018 #USelections through @carpoolvote: Linking drivers with voters needing a ride. https://t.co/TyC3pCgRsE'
DanielleDressel,"San Marco, Jacksonville, FL",b'#2020election got me like \n#FeelingCute #MightBecomeARefugee #Later \n#USElections #FtheDNC #Bernie2020\xe2\x80\xa6 https://t.co/Y7f9SyJXV2'
Breaking24Seven,"Vienna, Austria","b""Biden calls on Sanders for his supporters' threats\n#biden #sanders #uselections\nhttps://t.co/e6DBF10cCZ"""
GETAnalysis,Global,"b'Only if it were #true. But the last few years have shown that unless pushed, #BigTech has been less than worried in\xe2\x80\xa6 https://t.co/TeVpzczsV4'"
jetboy24,DC,"b'With Sanders surging in the polls, Israel lobby spends big bucks to sink his chances in Nevada..#Israel..\xe2\x80\xa6 https://t.co/NchUihA6i1'"
crypticvalentin,"Washington, DC","b'With Sanders surging in the polls, Israel lobby spends big bucks to sink his chances in Nevada..#Israel..\xe2\x80\xa6 https://t.co/w3xUMdB7bs'"
barefootsteve,"punta gorda, Fl",b'Wikileaks exposes secret list of 65 mainstream media reporters who are part of the Clinton mafia\xe2\x80\xa6 https://t.co/6nU6Tv75Bj'
WolfORourc,"Las Vegas, USA",b'Someone with a sunny disposition can give shelter to those turned off by political nastiness \xf0\x9f\x8c\x9e Crown @KatyPerry Vee\xe2\x80\xa6 https://t.co/Oi4U70mtl7'
IMateosylago,"London, England","b'Both theses can be right. For now. Moreover, if elections were won on the basis of economic facts, the world would\xe2\x80\xa6 https://t.co/60UqjTAVW9'"
PattyHamilton19,,b'Wikileaks exposes secret list of 65 mainstream media reporters who are part of the Clinton mafia\xe2\x80\xa6 https://t.co/DBoB0H4x7c'
PalestineChron,Washington,b'Founding Fathers\xe2\x80\x99 Worst Nightmare: How #Israel Normalized Foreign Meddling in #USElections https://t.co/ahGzWZQmTn\xe2\x80\xa6 https://t.co/emYgWvwS1g'
FreeDreamer00,,b'Wikileaks exposes secret list of 65 mainstream media reporters who are part of the Clinton mafia\xe2\x80\xa6 https://t.co/BvhNxEwg25'
Slimz09,Australia,"b'It would be naive to think that it wouldn\'t become an issue.\n\nAnd nice to see that "" #Christian Love"" come shining\xe2\x80\xa6 https://t.co/oC0RiA9JAy'"
PalestineChron,Washington,b'Founding Fathers\xe2\x80\x99 Worst Nightmare: How #Israel Normalized Foreign Meddling in #USElections https://t.co/jZT5VMk2xB\xe2\x80\xa6 https://t.co/5NKUVowmwE'
RocBrady,,b'Who is #RealityWinner @nytimes @msnbc @washingtonpost? Is someone pursuing her story? What\xe2\x80\x99s the crime for which sh\xe2\x80\xa6 https://t.co/Y7W6UpMTYC'
AnaAlvarengadeC,"Berlin, Germany","b'""The revolution will not be televised""\nt https://t.co/hFl5UsQQr6\n#USelections\n#Sanders'"
EuroScientist,Europe,b'Artificial Intelligence is another topic discussed by @donnadifiume and @zoltan_istvan. \n\nZoltan talks about #AI an\xe2\x80\xa6 https://t.co/Wb9pFeWPQz'
13seeds1,New Hamshire,"b'Wow  watched the TRUE 2010 docu-movie ""INSIDE JOB"" explains reason for 08 crash &amp; Recession. Political @redlining t\xe2\x80\xa6 https://t.co/xlFdgWZE8X'"
johnway19003359,"HUACHUCA CITY, AZ.",b'Wikileaks exposes secret list of 65 mainstream media reporters who are part of the Clinton mafia\xe2\x80\xa6 https://t.co/2CBDM2trCV'
WolfORourc,"Las Vegas, USA",b'When\xe2\x80\x99s the last time you remember a politician as lead story of @VogueMagazine and @CNN at the same time? \xf0\x9f\x91\x97 Crown\xe2\x80\xa6 https://t.co/JPYbAcUnku'
DustyFish770,"Mastic, NY",b'\xf0\x9f\x97\xb3 PBC elections office \xe2\x80\x99hacked\xe2\x80\x99 by ransomware in 2016. This is insane even for Florida. Why is this not on every he\xe2\x80\xa6 https://t.co/jP8LJTQeMw'
acluzzi78,,"b'Speaking of tipping points, i think they are getting close in #uselections to this point. @Gladwell thoughts?'"
SirNtzee,"South Africa,mzansi",b'Andrew Yang just dropped out of the #USElections \xf0\x9f\x98\xa4'
Monica_Wilcox,"Raleigh, NC",b'Need a ride to #Vote?\nor\nWant to #volunteer to drive? \nSupport #VotingRights in 2020 #USelections through\xe2\x80\xa6 https://t.co/8gBSBNUHLi'
ConsultingonTaP,Brussels (Head Office),"b""T&amp;P-Brussels\xf0\x9f\x87\xaa\xf0\x9f\x87\xba\xf0\x9f\x87\xba\xf0\x9f\x87\xb8\nThe battle for the #USelections approaches fast. Be sure to read the latest contribution by T&amp;P's\xe2\x80\xa6 https://t.co/vEGGVpHsJV"""
JannisKstr,Hamburg,b'Oh the many things that must be wrong with a democratic system for someone to be able to just buy an election. What\xe2\x80\xa6 https://t.co/xRIgdmijYR'
miapetrakumpula,Finland,b'Really excited: I was elected vice-chair of @Europarl_EN US-delegation. Super happy to start working with\xe2\x80\xa6 https://t.co/S3lPqVGZGJ'
prairie_type,,b'We need a president who puts climate change at the forefront. Concentration of CO2 Hits Record High of 416 ppm -\xe2\x80\xa6 https://t.co/uGJYYViDNE'
jmeblommaert,"Antwerp, Belgium",b'Oh dear. This is going to be a nightmare year. #USelections https://t.co/SDT17NsvE3'
EuroScientist,Europe,"b'@zoltan_istvan, candidate to the #USelections, gave an interview to @donnadifiume for her #TechnoculturePodcast.\n\nZ\xe2\x80\xa6 https://t.co/inLSMHuglX'"
imleslahdin,"Tempe, AZ","b""It's already exceptional how long US elections take and how early they start. Now we're going for a long character\xe2\x80\xa6 https://t.co/8td4peaL13"""
EuroScientist,Europe,b'This month @donnadifiume from #TechnoculturePodcast interviewed @zoltan_istvan the most prominent advocate for the\xe2\x80\xa6 https://t.co/XgSZapbkij'
V0TEBERNIE2020,,"b'Who is @MonicaLewinsky leaning for? She is an amazing @TEDTalks speaker, an even more marvelous person, and a wonde\xe2\x80\xa6 https://t.co/zZHFQDWOlP'"
V0TEBERNIE2020,,b'Vote for Bernie @BernieSanders please!!! I will share updates I get from having donated. And also news and future w\xe2\x80\xa6 https://t.co/IZOnERUWZ5'
WolfORourc,"Las Vegas, USA","b'Trump will win reelection unless a non-traditional nominee emerges - To thrive, the Democratic Party must add a rea\xe2\x80\xa6 https://t.co/sABivU0ThX'"
