ID,Neighborhood,Location,HoursOfOperation,FacilityType,CNN,X,Y,Latitude,Longitude,Geom
18,Tenderloin,Eddy St. and Jones St., Daily – 9 am to 8 pm,JC Decaux,5060000,6009098.129,2113629.109,37.7841238,-122.4122697,POINT (-122.4122697 37.7841238)
10,Mission,16th and Mission streets,Daily – 9 am to 8 pm ,JC Decaux,726000,6006716.394,2106693.543,37.7649465,-122.4200173,POINT (-122.4200173 37.7649465)
21,North Beach,Washington Square at Union St,Daily – 9 am to 8 pm,JC Decaux,12848000,6009960.891,2119565.488,37.800472,-122.409704,POINT (-122.409704 37.800472)
22,Outer Sunset,Judah Street and La Playa,Daily – 9 am to 4 pm,Rec Park Restroom,7686000,5980790.695,2105536.199,37.760274,-122.5096,POINT (-122.5096 37.760274)
8,Mid-Market,U.N. Plaza:  Market St and 7th St,Daily – 9 am to 8 pm,JC Decaux,8751201,6008833.749,2112184.785,37.7801432,-122.4130822,POINT (-122.4130822 37.7801432)
27,Tenderloin,388 Ellis St,Mon-Fri – 9am – 4pm,Portable,5173000,6009212.7,2113915.8,37.784951,-122.411812,POINT (-122.411812 37.784951)
7,Mid-Market,Hallidie Plaza: Market St and 5th St,Daily – 9 am to 8 pm,JC Decaux,8747203,6010397.563,2113708.348,37.7844142,-122.4077797,POINT (-122.4077797 37.7844142)
6,Haight ,Stanyan and Waller streets,Daily – 9 am to 8 pm,JC Decaux,12091000,5997088.812,2108093.249,37.7682426,-122.4534175,POINT (-122.4534175 37.7682426)
14,SoMa,6th and Jessie streets,Mon-Fri – 1:00 pm to 7:00 pm,Portable,327000,6009929.622,2112659.824,37.781509,-122.4093246,POINT (-122.4093246 37.781509)
13,SoMa,Natoma and Ninth streets,Mon-Fri – 10:30 am to 5:30 pm,Portable,450000,6008634.383,2110475.964,37.77544,-122.413651,POINT (-122.413651 37.77544)
19,Castro,Market and Church Streets,Daily – 9 am to 8 pm,JC Decaux,8762202,6004459.474,2108049.059,37.768541,-122.42792,POINT (-122.42792 37.768541)
26,Tenderloin,101 Hyde St,Mon-Fri – 1:30pm to 8:30pm; Sat – 9:30am to 4:30pm,Portable,7115000,6008111.8,2112787.6,37.781775,-122.415627,POINT (-122.415627 37.781775)
28,Tenderloin,Eddy St. and Larkin St.,Mon-Sat – 9:30am - 4:30pm,Portable,5063000,6007673.3,2113388.8,37.7833245,-122.4173774,POINT (-122.4173774 37.7833245)
2,Bayview,Mendell Plaza: 3rd St and Mendell St/Palou Ave,Mon-Fri – 10 am to 5pm ,JC Decaux,212101,6014928.991,2095269.89,37.7340389,-122.3908134,POINT (-122.3908134 37.7340389)
5,Haight ,Haight and Buena Vista Ave West,Mon-Fri – 12 pm to 7 pm ,Portable,6615000,6000861.387,2108952.169,37.7708165,-122.4404302,POINT (-122.4404302 37.7708165)
9,Mission,16th and Capp streets,Mon-Fri – 11 am to 6 pm ,Portable,725000,6007070.305,2106763.894,37.7651596,-122.4187982,POINT (-122.4187982 37.7651596)
12,SoMa,McCoppin Hub:  McCoppin St and Valencia,Mon-Fri – 11:30 am to 6:30 pm ,Portable,8917001,6006025.639,2109062.559,37.7714123,-122.4225748,POINT (-122.4225748 37.7714123)
23,Lower Polk,Myrtle and Larkin Streets,Daily – 9am to 8pm,JCDecaux,8130000,6007412.1,2114181.8,37.785563,-122.418094,POINT (-122.418094 37.785563)
4,Civic Center,Grove and Larkin streets,Daily - 9 am to 8 pm,JC Decaux,6553000,6007762.841,2111687.208,37.7787168,-122.4167517,POINT (-122.4167517 37.7787168)
25,Tenderloin,133 Golden Gate Ave,Mon-Fri – 2pm to 9pm; Sat – 9am to 4pm,Portable,6260000,6008927.1,2112835.7,37.781952,-122.412797,POINT (-122.412797 37.781952)
24,Mission,24th and Mission Streets,Daily – 9am to 8pm,JCDecaux,1346000,6006962.3,2102022.9,37.752152,-122.418807,POINT (-122.418807 37.752152)
20,The Embarcadero,Embarcadero Plaza,Daily – 9 am to 8 pm,JC Decaux,12553103,6014264.516,2117415.545,37.794809,-122.394661,POINT (-122.394661 37.794809)
3,Castro,Market and Castro streets,Daily – 9 am to 8 pm ,JC Decaux,8767101,6002426.305,2105990.398,37.7627732,-122.4348053,POINT (-122.4348053 37.7627732)
11,Mission,Mission and Sycamore streets,Mon-Fri – 12:30 pm to 7:30 pm,Portable,9119000,6006844.393,2105881.997,37.7627254,-122.419517,POINT (-122.419517 37.7627254)
15,SoMa,Victoria Manalo Draves Park: Sherman St between Folsom and Harrison streets,Mon-Fri – 8 am to 4 pm; Sat-Sun –  9 am to 5 pm,Rec Park Restroom,11804000,6010848.014,2110911.598,37.7767602,-122.4060242,POINT (-122.4060242 37.7767602)
